shortcode,username,date_utc,url_thumbnail,url_media,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHA13dyggSA,albertsons,10/31/2020 15:36,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/123035267_1790490281103727_8568586547037540265_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=bL5pJPEtEIwAX_mDLUs&tp=1&oh=8755fd3610d0622e4e5d518a10a88e89&oe=5FC05F4E,https://scontent-iad3-1.cdninstagram.com/v/t50.2886-16/123309040_431570058235875_7780091435565736837_n.mp4?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=z9wHMF_Z7HYAX_c0uCp&oe=5FC069C9&oh=30e65d79f8b5d712ff83bf864bde1c7f,yes,FALSE,,,BOO! Happy Halloween! :jack-o-lantern::ghost::bat:,545,30.366,40,5,45,,
,,,,,,,,,,,,,,,,
CG-uzjKFCDK,albertsons,10/30/2020 19:55,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/123024745_380254423166476_3502057565259143319_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=yySQJRGr_CMAX-ldQMZ&tp=1&oh=8f786cd7835157c306745f6cc2d6b73c&oe=5FE773F8,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/123024745_380254423166476_3502057565259143319_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=yySQJRGr_CMAX-ldQMZ&tp=1&oh=8f786cd7835157c306745f6cc2d6b73c&oe=5FE773F8,no,FALSE,,,Sweeten up your Halloween with some desserts that are scary delicious (and scary cute!) Check out our story or stop by your store for ideas and inspiration!,0,0,128,6,134,,
,,,,,,,,,,,,,,,,
CG8R8mHgBYW,albertsons,10/29/2020 21:05,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/123059237_1022711941528540_5005718643180549655_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=rGbHJ6c3xxoAX_801tY&tp=1&oh=9629d171c9332c63a957d06b605ee0d4&oe=5FE7F618,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/123059237_1022711941528540_5005718643180549655_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=rGbHJ6c3xxoAX_801tY&tp=1&oh=9629d171c9332c63a957d06b605ee0d4&oe=5FE7F618,no,FALSE,,,Two more days until Halloween! Take a couple extra moments to spice up your pepperoni pizza for a festive pizza night :spider::woman_zombie_selector:,0,0,102,4,106,,
,,,,,,,,,,,,,,,,
CG7gUB_hJ19,albertsons,10/29/2020 13:51,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/122970004_1010367932788503_7417612700143915620_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=CGSXoB9gwPAAX9k0D82&tp=1&oh=4564652d06cb05a7e67e7760d79e6ddb&oe=5FE803A5,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/122970004_1010367932788503_7417612700143915620_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=CGSXoB9gwPAAX9k0D82&tp=1&oh=4564652d06cb05a7e67e7760d79e6ddb&oe=5FE803A5,no,FALSE,,debililly,Elegant Halloween and fall décor from @debililly! Which one is your favorite? Available exclusively at Albertsons!,0,0,101,5,106,,
,,,,,,,,,,,,,,,,
CG3HNznJE3h,albertsons,10/27/2020 20:55,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/122763080_354350422558986_4784677902220867793_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=s2NS52cGoYwAX_yxQy1&tp=1&oh=c041535882e1828d407fa6ad9838da33&oe=5FE6863E,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/122763080_354350422558986_4784677902220867793_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=s2NS52cGoYwAX_yxQy1&tp=1&oh=c041535882e1828d407fa6ad9838da33&oe=5FE6863E,no,FALSE,,,Something delicious this way comes... :man_vampire_medium-light_skin_tone::snake:,0,0,124,5,129,,
,,,,,,,,,,,,,,,,
