,company,username,esg_company,verified
220,Piraeus Bank,piraeus_bank,BANK OF PIRAEUS S.A.,Τράπεζα Πειραιώς
221,Bank of Qingdao,#bankofqingdao,Bank of Qingdao Co Ltd,3 posts
222,Bank Of Shanghai,bankofshanghai,Bank of Shanghai,BOSH
223,Bank of Tianjin,#bankoftianjin,Bank of Tianjin Co Ltd,1 post
224,Bank Pekao,bankpekaosa,Bank Polska Kasa Opieki SA,Verified
225,Bank Rakyat Indonesia (BRI),Bank Rakyat Indonesia(BRI),Bank Rakyat Indonesia,"Jakarta, Indonesia"
226,Bankia,#bankia,"BANKIA, S.A.","9,839 posts"
227,Bankinter,bankinter,Bankinter SA,Verified
228,Banque Cantonale Vaudoise,#banquecantonalevaudoise,Banque Cantonale Vaudoise,20 posts
229,Banque Centrale Populaire,Banque Populaire du Maroc,Banque Centrale Populaire S.A.,"101, bd Mohamed Zerktouni. B.P. 10622 ., Casablanca, Morocco"
230,Banque Saudi Fransi,banquesaudifransi,Banque Saudi Fransi,Verified
231,Baoshan Iron & Steel,Win Iron & Steel,Baoshan Iron & Steel Company Limited,"No. (172/173/174) Mawlamyine Street, Industrial Zone 1, South Dagon, Dagon, Yangon, Burma"
232,Barclays,barclayscenter,Barclays,Verified
233,Barratt Developments,#barrattdevelopments,Barratt Developments,67 posts
234,Barrick Gold,barrickgold,Barrick Gold Corp.,Barrick Gold Corporation
235,BASF,#basf,BASF AG,"142,834 posts"
236,Basler Kantonalbank,baslerkantonalbank,Basler Kantonalbank,Verified
237,Bass Pro Shop,bassproshops,Bass Pro Shops (Outdoor World) LLC,Verified
238,Bausch Health Companies,"Bausch Health Companies, Inc.",BAUSCH HEALTH COMPANIES INC.,"400 Somerset Corporate Blvd, Bridgewater, Connecticut"
239,Bawag Group,#bawaggroup,BAWAG P.S.K.,5 posts
240,Baxter International,baxterinternationalhealth,Baxter International Inc.,Baxter International Health
241,Bayer,fcbayern,Bayer AG,Verified
242,BayWa,baywatchmovie,BayWa,Verified
243,BBMG,bbmg_ke6e,Bbmg Corp.,BBMG Ke6e
244,BCE,bcepoetry,BCE Inc,brian 🕊
245,Becton Dickinson,#bectondickinson,Becton Dickinson & Company,"1,746 posts"
246,BED BATH & BEYOND,bedbathandbeyond,Bed Bath & Beyond,Verified
247,NIVEA,thisisnivea,Beiersdorf,Verified
248,Beiersdorf,#beiersdorf,Beiersdorf,"8,618 posts"
249,Beijing Capital Development,"Beijing ADSS Development Co.,ltd","Beijing Capital Development,Co.,Ltd","F9, Greenland Wealth Plaza, Jinxing West Road, Daxing District"
250,Beijing Enterprises,#beijingenterprises,Beijing Enterprises Holdings Ltd.,147 posts
251,Beijing Shougang,shougangeagles,"Beijing Shougang Co., Ltd.",Beijing Shougang Eagles
252,Bell,bellahadid,Bell Aliant,Verified
253,Bendigo & Adelaide Bank,Bendigo & Adelaide Bank,Bendigo Bank Limited,"80 Grenfell Street, Adelaide, Australia"
254,Berkeley Group Holdings,Odeh Holdings Group Inc.,BERKELEY GROUP HOLDINGS PLC (THE),"2512 South Memorial Dr., Greenville, North Carolina"
255,BNSF,bnsfrailway,Berkshire Hathaway Inc.,BNSF Railway
256,Berkshire Hathaway,berkshirehathawayincofficial,Berkshire Hathaway Inc.,Berkshire Hathaway Inc.
257,Berry Global Group,Global,"Berry Plastics Group, Inc.","30 Leicester Square, London, United Kingdom"
258,Best Buy,bestbuy,"Best Buy Co., Inc.",Verified
259,Bharat Petroleum,bpclimited,Bharat Petroleum Corporation Limited,Bharat Petroleum Corporation
260,Bharti Airtel,airtelcareers,Bharti Airtel Limited,Bharti Airtel Limited
261,BHP Group,bhp.group,BHP Billiton Limited,BHP Group
262,BHP,bhpingue,BHP Group Plc,BH Pingue
263,BIG LOTS,biglots,"Big Lots, Inc.",Verified
264,Biogen,biogen.pharma,Biogen Idec,Biogen Pharmaceuticals
265,BioMarin Pharmaceutical,biomarinofficial,BioMarin Pharmaceutical Inc.,BioMarin Pharmaceutical
266,Bio-Rad Laboratories,bioradlabs,"Bio-Rad Laboratories, Inc.",Bio-Rad Laboratories
267,BJ's Wholesale Club,bjswholesale,"BJ's Wholesale Club, Inc.",Verified
268,BlackRock,blackrock,"BlackRock, Inc.",Verified
269,Bloomberg,bloomberg,Bloomberg,Verified
270,BMO Harris Bank,bmoharrisbank,BMO Harris Bank,Verified
271,BMW Group,bmwgroup,BMW,Verified
272,BNP Paribas,bnpparibas,BNP Paribas,Verified
273,BOE Technology Group,#boetechnologygroup,BOE Technology Group Co Ltd B HKD,1 post
274,PRICELINE GROUP,#pricelinegroup,Booking Holdings,19 posts
275,booking.com,bookingcom,Booking Holdings,Verified
276,Booking Holdings,#bookingholdings,Booking Holdings,336 posts
277,Booz Allen Hamilton Holding,Booz Allen Hamilton,Booz Allen Hamilton Holding Corporation,"5220 Pacific Concourse Dr Ste 390, Del Aire, California"
278,BorgWarner,borgwarnerofficial,BorgWarner Inc.,BorgWarner
279,Bosch,boschamazon,Bosch Limited,Verified
280,Boston Consulting Group,bcg,Boston Consulting Group,Boston Consulting Group
281,Boston Properties,bxpbostonproperties,"Boston Properties, Inc.",Boston Properties
282,Boston Scientific,boston_scientific_mena,Boston Scientific Corporation,Boston Scientific MENA
283,Bouygues,bouyguestelecom,Bouygues SA,Verified
284,BPER Banca,lagalleriabper,BPER Banca S.p.A.,La Galleria BPER Banca
285,Brambles,brambleswoodwork,Brambles Industries PLC,Jarrod Napierkowski
286,Braskem,braskemsa,BRASKEM S/A,Verified
287,Brenntag,brenntagbestfriends,Brenntag AG,BrenntagBestFriends
288,Bridgestone,bridgestone,Bridgestone Corporation,Verified
289,Brighthouse Financial,brighthousefinancial,"BRIGHTHOUSE FINANCIAL, INC.",Brighthouse Financial
290,Brinker,brinkerandeliza,"Brinker International, Inc.",BRINKER & ELIZA
291,Bristol-Myers Squibb,bristolmyerssquibb,Bristol-Myers Squibb Company,Verified
292,Pall Mall,pallmallbarbers,British American Tobacco PLC,Pall Mall Barbers
293,British American Tobacco,britishamericantobacco.asia,British American Tobacco PLC,British American Tobacco🍃
294,Sky,skykatz,British Sky Broadcasting Group PLC,Verified
295,Broadcom,_broadcom_,Broadcom Inc.,BROAD COM
296,Broadridge Financial,#broadridgefinancial,"Broadridge Financial Solutions, Inc.",43 posts
297,Brookfield,brookfieldpropertiesretail,Brookfield Asset Management Inc.,Brookfield Properties
298,Brookfield Asset Management,brookfield_asset_management,Brookfield Asset Management Inc.,BROOKFIELD OFFICIAL
299,Brown & Brown,bb_insurance,Brown & Brown,Brown & Brown Insurance
300,Brown-Forman,brownforman,Brown-Forman Corporation,Verified
301,BNK Financial Group,bankers_now_brokers,BS FINANCIAL GROUP INC,BNB Financial Group
302,BT Group,btgroup,BT Group PLC,BT Group
303,Budweiser,budweiser,Budweiser Brewing Company APAC Ltd,Verified
304,Bunge,bunge.tanzania,Bunge Ltd.,Bunge la Tanzania
305,Bunzl,bunzldist,Bunzl PLC,Bunzl Distribution
306,Burberry,burberry,Burberry Group PLC,Verified
307,Bureau Veritas,bureauveritasformacion,Bureau Veritas,Bureau Veritas Formación
308,Burger King,burgerking,Burger King Corporation,Verified
309,Burlington Stores,burlingtonstores,"BURLINGTON STORES, INC.",Burlington Stores
310,BYD,bydacode,BYD Company Limited,ByDaCodeClothing | BLACKOWNED
311,C.H. Robinson,thechristinarobinson,"C.H. Robinson Worldwide, Inc.",Christina Robinson
312,Cabot Oil & Gas,cabotog,Cabot Oil & Gas Corporation,Cabot Oil & Gas Corporation
313,Cadence Design,cadence_design_systems,"Cadence Design Systems, Inc.",Cadence
314,Caesars Entertainment,caesarsentertainment,Caesars Entertainment Corp.,Verified
315,Caixa,caixa,Caixa Economica Federal,Verified
316,Caltex Australia,caltexaustralia,Caltex Australia Pty. Ltd.,Verified
317,Campbell Soup,campbellsoupco,Campbell Soup Company,Verified
318,Canada Life,canadalifeco,Canada Life Financial Corporation,Canada Life / Canada Vie
319,Canadian Apartment Properties Real Estate Investment Trust,Canadian Apartment Properties Real Estate Investment Trust,Canadian Apartment Properties Real Estat,"98 Churchill St Unit 3, Waterloo"
320,CIBC,cibc,Canadian Imperial Bank of Commerce,Verified
321,Canadian Imperial Bank,#canadianimperialbankofcommerce,Canadian Imperial Bank of Commerce,163 posts
322,Canadian National Railway,canadiannationalrailway,Canadian National Railway Company,cn
323,CNRL,cn_rll,Canadian Natural Resources Limited,"خلفيات ""عرض"" صور شباب"
324,Canadian Natural Resources,#canadiannaturalresources,Canadian Natural Resources Limited,321 posts
325,Canadian Pacific Railway,canadianpacific,Canadian Pacific Railway Limited,Canadian Pacific Railway
326,Canadian Tire,canadiantire,"Canadian Tire Corporation, Limited",Verified
327,Canara Bank,canarabankinsta,Canara Bank Ltd.,Canara Bank
328,Canon,canonusa,Canon Inc,Verified
329,Capgemini,capgemini,Cap Gemini,Capgemini
