company,username,esg_company,verified
Red Bull,redbull,Red Bull,Verified
RHB Bank,rhbgroup,RHB Capital Berhad,Verified
RingCentral,ringcentral,RingCentral Inc,Verified
RITE AID,riteaid,Rite Aid Corporation,Verified
Rockwell Automation,rokautomation,"Rockwell Automation, Inc.",Verified
Roku,rokuplayer,"ROKU, INC.",Verified
Rolex,rolex,Rolex,Verified
RBC,rbc,Royal Bank of Canada,Verified
Royal Bank of Scotland,royalbank,Royal Bank of Scotland Group,Verified
Royal Dutch Shell,shell,Royal Dutch Shell,Verified
St. James's Place,sjpwealth,Saint James's Place PLC,Verified
Saipem,saipem_official,Saipem SpA,Verified
Salesforce.com,salesforce,"Salesforce.com, Inc.",Verified
Samsung SDS,samsung.sds,"Samsung SDS Co., Ltd.",Verified
Sanofi,sanofi,Sanofi,Verified
Schaeffler,schaefflergroup,Schaeffler Technologies GmbH & Co KG,Verified
Schneider Electric,schneiderelectric,Schneider Electric,Verified
Seagate Technology,seagate,Seagate Technology,Verified
Bombardier,bombardier_jets,Bombardier Inc,Verified
Square,square,Square Inc,Verified
Wayfair,wayfair,Wayfair Inc,Verified
Korean Air,koreanair,"Korean Air Lines Co., Ltd.",Verified
Sephora,sephora,Sephora,Verified
Shiseido,shiseido,Shiseido Company Limited,Verified
Shopify,shopify,Shopify Inc,Verified
Siemens,siemens,Siemens AG,Verified
Sika,officialsikaosei,Sika,Verified
Singapore Airlines,singaporeair,Singapore Airlines,Verified
SingTel,singtel,Singapore Telecommunications Limited,Verified
SiriusXM,siriusxm,SiriusXM Holdings Inc.,Verified
Sistema,sistemaplastics,SISTEMA JSFC,Verified
SK Telecom,sktelecom,"SK Telecom Co., Ltd.",Verified
Snap-on,snapon_official,Snap-on Incorporated,Verified
Sony,sony,Sony Corporation,Verified
Southern Company,southerncompany,Southern Company,Verified
Southwest Airlines,southwestair,Southwest Airlines Co.,Verified
Splunk,splunk,Splunk Inc.,Verified
spotify,spotify,Spotify Technology SA,Verified
Sprint,sprint,Sprint Nextel Corporation,Verified
Stanley Black & Decker,stanleyblackdecker,Stanley Black & Decker Inc.,Verified
STAPLES,staples,"Staples, Inc.",Verified
Starbucks,starbucks,Starbucks Corporation,Verified
State Bank of India,theofficialsbi,State Bank of India Group,Verified
State Farm,statefarm,State Farm Insurance,Verified
Steel Authority of India,steelauthority,Steel Authority of India Limited,Verified
SUPERVALU,supervalu_irl,Supervalu Inc.,Verified
Suzuki Motor,suzukicycles,Suzuki Motor Corp.,Verified
